engine_type,bypass_ratio,press_ratio,rated_output,ambient_baro,ambient_temp,ambient_humidity,fuel_flow_to
1,5.13,22.08,56.35,97.6,288,0.005985,0.606
1,5.13,24.12,62.49,97.6,288,0.005985,0.691
1,5.13,24.82,64.53,97.6,288,0.005985,0.721
1,5.13,21.71,55.19,97.6,288,0.005985,0.591
1,5.13,23,59.15,97.6,288,0.005985,0.644
1,5.13,23.18,59.68,97.6,288,0.005985,0.652
1,5.13,24.12,62.49,97.6,288,0.005985,0.691
1,5.13,24.82,64.53,97.6,288,0.005985,0.721
1,5.13,23.18,59.68,97.6,288,0.005985,0.652
1,5.13,24.12,62.49,97.6,288,0.005985,0.691
1,4.3,25.38,202.8,97.82,296.8,0.01715,2.027
1,4.3,25.9,202.8,99.35,283,0.0065,2.058
1,4.3,25.38,202.8,97.82,296.8,0.01715,2.027
1,4.3,26.88,215.3,97.82,296.8,0.01715,2.168
1,4.3,28.8,224.2,99.35,283,0.0065,2.379
1,4.3,27.76,224.2,97.82,296.8,0.01715,2.281
1,4.3,28.44,230.4,97.82,296.8,0.01715,2.361
1,4.3,29.8,230.4,99.35,283,0.0065,2.487
1,4.3,28.44,230.4,97.82,296.8,0.01715,2.361
1,4.3,29.06,236.7,97.82,296.8,0.01715,2.41
1,4.3,28.8,224.2,99.35,283,0.0065,2.379
1,4.3,27.76,224.2,97.82,296.8,0.01715,2.281
1,4.3,27.76,224.2,97.82,296.8,0.01715,2.281
1,4.3,28.44,230.4,97.82,296.8,0.01715,2.361
1,4.3,28.44,230.4,97.82,296.8,0.01715,2.361
1,4.3,29.8,230.4,99.35,283,0.0065,2.487
1,4.3,28.44,230.4,97.82,296.8,0.01715,2.361
1,4.3,29.06,236.7,97.82,296.8,0.01715,2.41
1,5.9,24.7,174.8,99.805,290.5,0.009,1.736
1,5.9,25.4,181.9,99.805,290.5,0.009,1.812
1,5.9,24.7,174.8,99.805,290.5,0.009,1.736
1,5.9,25.4,181.9,99.805,290.5,0.009,1.812
1,5,29,208.8,99.43,276,0.002,2.145
1,5,29,209,99.43,276,0.002,2.145
1,5,30.1,216.5,99.43,276,0.002,2.254
1,5,30.1,217.8,99.43,276,0.002,2.254
1,5.1,30.96,257.4,97.61,291.5,0.0112,2.4
1,5.1,30.53,257.4,97.88,286,0.006,2.453
1,5.1,28,233.35,97.61,291.5,0.0112,2.117
1,5.1,28,233.35,97.61,291.5,0.0112,2.117
1,5.1,27.79,233.35,97.88,286,0.006,2.152
1,5.1,31.64,262.22,97.61,291.5,0.0112,2.457
1,5.1,31.64,262.22,97.61,291.5,0.0112,2.457
1,5.1,31.09,262.22,97.88,286,0.006,2.516
1,5.1,31.58,267.3,97.61,291.5,0.0112,2.581
1,5.1,31.58,267.3,97.61,291.5,0.0112,2.581
1,5.1,31.66,267.34,97.88,286,0.006,2.58
1,5.1,32.88,271.88,97.88,286,0.006,2.63
1,5.1,31,257.4,97.61,291.5,0.0112,2.507
1,5.1,30.45,257.37,97.88,286,0.006,2.444
1,5.1,30.08,249,97.61,291.5,0.0112,2.285
1,5.1,29.53,249.01,97.88,286,0.006,2.34
1,5.1,30.13,254.3,97.61,291.5,0.0112,2.353
1,5.1,30.13,254.3,97.61,291.5,0.0112,2.341
1,5.1,30.13,254.26,97.88,286,0.006,2.422
1,5.1,27.74,231.1,97.61,291.5,0.0112,2.131
1,5.1,27.53,231.08,97.88,286,0.006,2.124
1,5.1,27.52,231.35,97.61,291.5,0.0112,2.071
1,5.1,27.6,231.35,97.88,286,0.006,2.148
1,5.1,30.36,254.35,97.61,291.5,0.0112,2.43
1,5.1,30.14,254.35,97.88,286,0.006,2.409
1,5.1,30.17,254.79,97.61,291.5,0.0112,2.359
1,5.1,30.22,254.79,97.88,286,0.006,2.432
1,5.1,32.82,272.53,97.88,286,0.006,2.685
1,5.1,31.56,267.2,97.61,291.5,0.0112,2.579
1,5.1,31.66,267.2,97.88,286,0.006,2.58
1,5.1,31.79,267.03,97.61,291.5,0.0112,2.54
1,5.1,31.72,267.03,97.88,286,0.006,2.594
1,5.1,31.79,267.03,97.61,291.5,0.0112,2.54
1,5.1,31.72,267.03,97.88,286,0.006,2.594
1,5.1,31.37,267,97.5,286.4,0.005885,2.583
1,5.1,31.71,267.02,97.88,286,0.006,2.605
1,5.1,32.86,269.96,97.61,291.5,0.0112,2.596
1,5.1,32.05,269.96,97.88,286,0.006,2.629
1,5.1,32.44,281.5,97.825,294,0.0135,2.702
1,5.1,32.46,281.53,97.88,286,0.006,2.702
1,5.1,33.08,287,97.825,294,0.0135,2.767
1,5.1,33.1,287.04,97.88,286,0.006,2.767
1,5.1,35.7,304.8,97.88,286,0.006,2.989
1,5.1,34.5,297.44,97.88,286,0.006,2.904
1,5.1,34.5,297.44,97.88,286,0.006,2.904
1,5.1,30.13,254.26,97.88,286,0.006,2.422
1,5.1,32.82,272.53,97.88,286,0.006,2.685
1,5.1,31.72,267.03,97.88,286,0.006,2.594
1,7.34,39.73,492.6,97.4615,292.47,0.006375,4.32
1,7.17,41.21,504.9,97.4615,292.47,0.006375,4.53
1,7.08,42.24,513.9,97.4615,292.47,0.006375,4.69
1,7.3,40.36,492.6,97.69,294.7,0.00725,4.226
1,7.2,41.81,504.9,97.69,294.7,0.00725,4.43
1,7.1,42.94,513.9,97.69,294.7,0.00725,4.6
1,7.3,40.36,492.6,97.69,294.7,0.00725,4.226
1,7.1,42.94,513.9,97.69,294.7,0.00725,4.6
1,8.5,35.3,360.62,97.985,286.5,0.00413,2.83
